word,synonyms,tf-idf-pos,tf-idf-neg,tf-idf-val,node-label
(ไหม - VERB),"['มั้ย', 'เหรอ', 'นะ', 'สิ', 'หรอ']",3.1760912590556813,-0.038080281634327154,3.138010977421354,pos
(กุ้งก้ามกราม - VERB),,3.1760912590556813,-0.288735569005062,2.887355690050619,pos
(เขียวชอุ่ม - ADJ),,0.03736577951830213,-1.0586970863518936,-1.0213313068335914,neg
(ยา - VERB),"['เครื่องสำอาง', 'สมุนไพร', 'แชมพู', 'รอยด์', 'น้ำยา']",0.9583537544639,0,0.9583537544639,pos
(เล - VERB),"['สเต', 'ลิส', 'ราส์', 'เลย์', 'คัส']",0,-0.7940228147639203,-0.7940228147639203,neg
(ฝันร้าย - VERB),,0.7057980575679291,0,0.7057980575679291,pos
(วัด - VERB),"['ที่วัด', 'ของวัด', 'โบสถ์', 'ปฏิสังขรณ์', 'วิหาร']",0,-0.6352182518111363,-0.6352182518111363,neg
(งาม - VERB),"['งดงาม', 'สวยงาม', 'สวย', 'อัปลักษณ์', 'อ่อนช้อย']",0.005691919819096203,-0.6352182518111363,-0.6295263319920401,neg
(ป๊อป - VERB),"['ร็อค', 'บลูส์', 'แจ๊ส', 'ลูกทุ่ง', 'ร็อก']",0.5293485431759468,0,0.5293485431759468,pos
(รอยสัก - VERB),,0,-0.5293485431759468,-0.5293485431759468,neg
(เฮน - ADV),"['แม', 'เซอ', 'เนิร์ส', 'เกอ', 'สแม']",0,-0.5293485431759468,-0.5293485431759468,neg
(คู่มือ - VERB),"['เอกสาร', 'ตำรา', 'วารสาร', 'หนังสือ', 'สำเนา']",0,-0.5293485431759468,-0.5293485431759468,neg
(เหลว - VERB),"['ไนโตรเจน', 'กำมะถัน', 'แอมโมเนีย', 'คาร์บอนไดออกไซด์', 'ของเหลว']",0,-0.4886294244701048,-0.4886294244701048,neg
(ตัวยง - VERB),,0,-0.45372732272224015,-0.45372732272224015,neg
(กลลวง - VERB),,0,-0.45372732272224015,-0.45372732272224015,neg
(กาม - VERB),"['ราคะ', 'ตัณหา', 'กามตัณหา', 'สันดาน', 'กิเลส']",0.45372732272224015,-0.04670722439787767,0.4070200983243625,pos
(ลูกสาว - ADV),"['ลูกชาย', 'น้องชาย', 'พี่ชาย', 'คุณแม่', 'ลูก']",0.39701140738196017,0,0.39701140738196017,pos
(แดด - ADV),"['แสงแดด', 'ไอแดด', 'ลม', 'ฝน', 'ลมทะเล']",0.39701140738196017,0,0.39701140738196017,pos
(เร่ร่อน - ADV),"['ร่อนเร่', 'พเนจร', 'บ้านนอก', 'ซัดเซ', 'ขอทาน']",0,-0.39701140738196017,-0.39701140738196017,neg
(แออัดยัดเยียด - ADJ),,0,-0.37365779518302134,-0.37365779518302134,neg
(ดิส - VERB),"['คัฟ', 'คาร์ท', 'เอ็กซ์', 'นีย์', 'เวอ']",0.3593826579239625,0,0.3593826579239625,pos
(เคารพ - VERB),"['ยำเกรง', 'นับถือ', 'เลื่อมใส', 'ซื่อสัตย์', 'กตัญญู']",0.35289902878396456,-0.005685127552008977,0.3472139012319556,pos
(ฟัน - VERB),"['เล็บ', 'แปรง', 'แผล', 'กราม', 'เหงือก']",0.31945125148796666,0,0.31945125148796666,pos
(เท้าเปล่า - ADJ),,0.31760912590556817,0,0.31760912590556817,pos
(อ่อน - ADJ),"['คล้ำ', 'ซีด', 'นุ่ม', 'โรย', 'เหี่ยว']",0.31760912590556817,0,0.31760912590556817,pos
(โลชั่น - VERB),"['ครีม', 'บาล์ม', 'เจล', 'ควิโนน', 'เรซิน']",0,-0.31760912590556817,-0.31760912590556817,neg
(ดวงดาว - VERB),"['ดวงจันทร์', 'ดวงอาทิตย์', 'ดาวเคราะห์', 'จักรวาล', 'ดาวพุธ']",0,-0.31760912590556817,-0.31760912590556817,neg
(มืด - VERB),"['สลัว', 'สว่าง', 'มืดมน', 'ว่างเปล่า', 'เงียบ']",0.31760912590556817,-0.0025853408702121946,0.315023785035356,pos
(สนิม - VERB),"['หูด', 'ผง', 'เขม่า', 'ขี้เถ้า', 'ตะปุ่มตะป่ำ']",0.31760912590556817,-0.0061078678058763105,0.31150125809969187,pos
(เสื่อ - ADV),"['ฟูก', 'พรม', 'ผ้าใบ', 'ผ้า', 'หมอน']",0.288735569005062,0,0.288735569005062,pos
(เกลียวคลื่น - VERB),,0.288735569005062,0,0.288735569005062,pos
(ม้วน - ADV),"['ลวด', 'ห้อย', 'ห่อ', 'เสียบ', 'ขึง']",0.288735569005062,0,0.288735569005062,pos
(ต้น - ADV),"['ต้นไม้', 'ปลาย', 'ออกดอก', 'มะม่วง', 'ปล้อง']",0.288735569005062,0,0.288735569005062,pos
(สักพัก - VERB),,0.288735569005062,0,0.288735569005062,pos
(กลฉ้อฉล - VERB),"['นิติกรรม', 'ข่มขู่', 'พินัยกรรม', 'พ้นวิสัย', 'เจตนา']",0,-0.288735569005062,-0.288735569005062,neg
(คลำหา - VERB),,0,-0.288735569005062,-0.288735569005062,neg
(ตรอก - VERB),"['ซอย', 'ซอก', 'หลืบ', 'สุขุมวิท', 'ตลาดสด']",0,-0.288735569005062,-0.288735569005062,neg
(ลอง - ADV),"['ดูก่อน', 'นึกดู', 'ดูซิ', 'ก็แล้วกัน', 'หมั่น']",0.01194210285936324,-0.288735569005062,-0.2767934661456987,neg
(ล้าง - ADV),"['ล้างมือ', 'เช็ด', 'ขูด', 'ฉีด', 'งด']",0,-0.2761818486135375,-0.2761818486135375,neg
(อย่า - VERB),"['เถอะ', 'แกล้ง', 'ก็แล้วกัน', 'แก', 'ซะ']",0.017340538379925816,-0.28750612633917,-0.27016558795924417,neg
(ไห่ - VERB),"['ฝู', 'ญุ่ย', 'เปย', 'จือ', 'เฉิง']",0.2646742715879734,0,0.2646742715879734,pos
(เหยียด - VERB),"['เฟื้อย', 'สยาย', 'กรอม', 'ถ่าง', 'ร่าย']",0,-0.2613692057628818,-0.2613692057628818,neg
(ดื่ม - ADV),"['จิบ', 'ซด', 'รับประทาน', 'กิน', 'เสิร์ฟ']",0.2646742715879734,-0.00380851835042712,0.2608657532375463,pos
(คาวบอย - VERB),"['กำลังภายใน', 'ยิปซี', 'เดรป', 'ฮอลลี', 'วูด']",0.2443147122350524,0,0.2443147122350524,pos
(กัส - VERB),"['ลัม', 'โน่', 'สปะ', 'เซียส', 'เฮล']",0.2443147122350524,0,0.2443147122350524,pos
(ไวน์ - ADV),"['เบียร์', 'น้ำอัดลม', 'น้ำส้ม', 'วิสกี้', 'แชมเปญ']",0.2443147122350524,0,0.2443147122350524,pos
(จิบ - VERB),"['ซด', 'ดื่ม', 'ละเลียด', 'จอก', 'ดื่มกิน']",0.2443147122350524,0,0.2443147122350524,pos
(ค็อกเทล - ADJ),"['แชมเปญ', 'ไอศกรีม', 'หูฉลาม', 'น้ำส้ม', 'น้ำหวาน']",0.2443147122350524,0,0.2443147122350524,pos
(ทิป - ADV),"['ปฏิกรรมสงคราม', 'ส่วนลด', 'เบี้ยเลี้ยง', 'ทำขวัญ', 'โบนัส']",0,-0.2443147122350524,-0.2443147122350524,neg
(คนบ้า - VERB),,0,-0.2443147122350524,-0.2443147122350524,neg
(ห้า - ADJ),"['หก', 'เจ็ด', 'แปด', 'สี่', 'เก้า']",0.22686366136112007,0,0.22686366136112007,pos
(ดาว - ADV),"['ดาวเสาร์', 'ดวงดาว', 'ดาวเคราะห์', 'ดาวฤกษ์', 'ดาวเหนือ']",0.22686366136112007,0,0.22686366136112007,pos
(วดี - VERB),"['ประภา', 'ภิรมย์', 'วิภา', 'ศุ', 'มาลี']",0.22686366136112007,0,0.22686366136112007,pos
(ทัศนศึกษา - ADV),"['ดูงาน', 'ศิลปากร', 'ห้องสมุด', 'ท่องเที่ยว', 'กาชาด']",0.22686366136112007,0,0.22686366136112007,pos
(ขี่ม้า - VERB),,0.22686366136112007,0,0.22686366136112007,pos
(พึมพำ - VERB),"['งึมงำ', 'อึกอัก', 'คราง', 'กระซิบ', 'สบถ']",0,-0.22686366136112007,-0.22686366136112007,neg
(สีแดงสด - VERB),,0,-0.22686366136112007,-0.22686366136112007,neg
(ผิว - VERB),"['เส้นผม', 'คล้ำ', 'ซีด', 'ผิวพรรณ', 'ผิวหนัง']",0,-0.22686366136112007,-0.22686366136112007,neg
(ฉีก - ADJ),"['วิ่น', 'หลุด', 'สลัด', 'ยู่ยี่', 'ยับ']",0,-0.22686366136112007,-0.22686366136112007,neg
(เรื่องราว - ADV),"['นิทาน', 'เหตุการณ์', 'ข่าวคราว', 'เนื้อเรื่อง', 'บทเรียน']",0,-0.22686366136112007,-0.22686366136112007,neg
(ร่มรื่น - VERB),"['แมกไม้', 'กว้างใหญ่', 'สวยงาม', 'เวิ้งว้าง', 'ร่มเย็น']",0,-0.22686366136112007,-0.22686366136112007,neg
(บาหลี - ADJ),"['เสม็ด', 'ฮอกไกโด', 'กวม', 'สุมาตรา', 'สมุย']",0,-0.2190407764865987,-0.2190407764865987,neg
(ครีม - VERB),"['โลชั่น', 'ลิปสติก', 'แป้ง', 'รองพื้น', 'เจล']",0.03958784801806981,-0.2574031267727719,-0.21781527875470208,neg
(สวมใส่ - VERB),"['สวม', 'สรวม', 'นุ่ง', 'แต่งกาย', 'แต่งตัว']",0.22686366136112007,-0.009112713988563234,0.21775094737255685,pos
(หงุดหงิด - ADJ),"['โมโห', 'อึดอัด', 'ประหม่า', 'รำคาญ', 'เครียด']",0.22686366136112007,-0.01312813362279315,0.21373552773832694,pos
(สาด - VERB),"['กระเซ็น', 'ซัด', 'พัด', 'อาบ', 'หยาด']",0.05206706982058494,-0.2646742715879734,-0.21260720176738845,neg
(วิ - VERB),"['พิ', 'สนา', 'ณ', 'ต', 'ปัส']",0.21173941727037876,0,0.21173941727037876,pos
(น้ำแข็ง - ADV),"['หม้อน้ำ', 'ชักโครก', 'น้ำ', 'ก้น', 'โฟม']",0.21173941727037876,0,0.21173941727037876,pos
(เตียงนอน - ADV),,0.21173941727037876,0,0.21173941727037876,pos
(เอะอะ - VERB),"['โวยวาย', 'โหวกเหวก', 'แหกปาก', 'โอดครวญ', 'วี้ด']",0,-0.21173941727037876,-0.21173941727037876,neg
(ซิม - ADV),"['แม็ค', 'เรด', 'แอส', 'เมอร์', 'บรา']",0,-0.21173941727037876,-0.21173941727037876,neg
(ไหว - VERB),"['เป็นไร', 'วาย', 'เหนื่อย', 'เพลีย', 'สะท้าน']",0.2613692057628818,-0.051096508417758264,0.21027269734512355,pos
(เต้น - VERB),"['ระรัว', 'กระตุก', 'กระเพื่อม', 'แกว่งไกว', 'แอโรบิก']",0.0033314730746137893,-0.21296750099197778,-0.209636027917364,neg
(ยามเย็น - VERB),,0.20536151881369286,0,0.20536151881369286,pos
(ตอนบ่าย - VERB),,0.19850570369098008,0,0.19850570369098008,pos
(ตะเกียง - VERB),"['เจ้าพายุ', 'โคม', 'ธูป', 'ไฟ', 'ตะเกียงลาน']",0.19850570369098008,0,0.19850570369098008,pos
(ตะเกียง - ADV),"['เจ้าพายุ', 'โคม', 'ธูป', 'ไฟ', 'ตะเกียงลาน']",0.19850570369098008,0,0.19850570369098008,pos
(ตอนต้น - VERB),"['อดีตกาล', 'รัตนโกสินทร์', 'แรกเริ่ม', 'รัชสมัย', 'พุทธกาล']",0,-0.19850570369098008,-0.19850570369098008,neg
(แถบ - VERB),"['ภาคกลาง', 'ที่ราบ', 'บริเวณ', 'ภาคอีสาน', 'เอเซีย']",0,-0.19850570369098008,-0.19850570369098008,neg
(มหาศาล - ADJ),"['มากมาย', 'เงินทอง', 'ใหญ่หลวง', 'เหลือเฟือ', 'ฟุ่มเฟือย']",0.014535886769133553,-0.21173941727037876,-0.1972035305012452,neg
(ระ - VERB),"['น', 'รภัทร์', 'ทยะ', 'เส', 'สัพ']",0.18682889759151067,0,0.18682889759151067,pos
(เกลียด - VERB),"['อิจฉา', 'สงสาร', 'ขยะแขยง', 'เจ็บใจ', 'รังเกียจ']",0,-0.18682889759151067,-0.18682889759151067,neg
(กอด - VERB),"['โอบ', 'สวมกอด', 'ประคอง', 'รั้ง', 'กำหมัด']",0,-0.18682889759151067,-0.18682889759151067,neg
(กระแส - ADV),"['ขบวนการ', 'ความเคลื่อนไหว', 'อุดมการณ์', 'พลัง', 'สภาวะ']",0,-0.18682889759151067,-0.18682889759151067,neg
(พล็อต - VERB),"['รามเกียรติ์', 'นวนิยาย', 'นิยาย', 'โครงเรื่อง', 'เรื่องสั้น']",0,-0.18682889759151067,-0.18682889759151067,neg
(เทศบาลเมือง - ADJ),,0,-0.18682889759151067,-0.18682889759151067,neg
(บวม - VERB),"['ช้ำ', 'ปูด', 'เป่ง', 'ย่น', 'ถลอก']",0,-0.18682889759151067,-0.18682889759151067,neg
(เลิก - ADV),"['หยุด', 'ล้มเลิก', 'เปลี่ยนใจ', 'แต่งงาน', 'ฆ่าตัวตาย']",0,-0.18682889759151067,-0.18682889759151067,neg
(เกรซ - VERB),"['ไดอาน่า', 'โรส', 'วิลเลียม', 'แฮร์รี', 'ยูจีน']",0.006647808026156299,-0.18682889759151067,-0.18018108956535436,neg
(ยินดี - ADV),"['กระตือรือร้น', 'เต็มใจ', 'ชื่นชม', 'ปลาบปลื้ม', 'ดีใจ']",0.014093437565645588,-0.19167075089278002,-0.17757731332713442,neg
(ลำลอง - ADJ),"['สูท', 'เต็มยศ', 'แส็ค', 'กิโมโน', 'เดรส']",0,-0.17644951439198228,-0.17644951439198228,neg
(สงบสุข - ADV),,0,-0.17644951439198228,-0.17644951439198228,neg
(คลึง - VERB),"['หัวไหล่', 'หัวแม่เท้า', 'ต้นคอ', 'ขยุ้ม', 'ลูบไล้']",0,-0.17644951439198228,-0.17644951439198228,neg
(เด็ก - ADJ),"['วัยรุ่น', 'ผู้หญิง', 'ทารก', 'เด็กหญิง', 'พ่อแม่']",0.17644951439198228,-0.0038067277917292223,0.17264278660025306,pos
(สนุก - ADV),"['ตื่นเต้น', 'สนุกสนาน', 'เพลิดเพลิน', 'เบื่อ', 'มันส์']",0.03549458349866296,-0.20536151881369286,-0.1698669353150299,neg
(กระแทก - VERB),"['ฟาด', 'เหวี่ยง', 'กระเด็น', 'ทิ่ม', 'กระชาก']",0.17969132896198126,-0.012339318727003005,0.16735201023497825,pos
(บ้าคลั่ง - ADJ),,0.16716269784503585,0,0.16716269784503585,pos
(ห้องสุขา - ADJ),,0,-0.16716269784503585,-0.16716269784503585,neg
(ยิง - ADV),"['แทง', 'กระสุน', 'สังหาร', 'ขว้าง', 'กระสุนปืน']",0,-0.16716269784503585,-0.16716269784503585,neg
